iter	Passed	Remaining
856	2078	346
857	2080	344
858	2082	341
859	2084	339
860	2085	336
861	2087	334
862	2091	331
863	2092	329
864	2094	326
865	2096	324
866	2097	321
867	2100	319
868	2102	316
869	2106	314
870	2107	312
871	2110	309
872	2114	307
873	2115	305
874	2117	302
875	2120	300
876	2122	297
877	2124	295
878	2133	293
879	2134	291
880	2135	288
881	2136	285
882	2138	283
883	2139	280
884	2141	278
885	2142	275
886	2144	273
887	2148	270
888	2149	268
889	2151	265
890	2152	263
891	2153	260
892	2154	258
893	2156	255
894	2157	253
895	2158	250
896	2159	248
897	2164	245
898	2165	243
899	2167	240
900	2168	238
901	2170	235
902	2171	233
903	2172	230
904	2173	228
905	2174	225
906	2178	223
907	2180	220
908	2182	218
909	2184	216
910	2186	213
911	2187	211
912	2189	208
913	2190	206
914	2195	203
915	2197	201
916	2198	199
917	2200	196
918	2205	194
919	2208	192
920	2209	189
921	2211	187
922	2214	184
923	2216	182
924	2217	179
925	2221	177
926	2223	175
927	2224	172
928	2225	170
929	2226	167
930	2227	165
931	2229	162
932	2230	160
933	2231	157
934	2232	155
935	2237	152
936	2239	150
937	2240	148
938	2242	145
939	2243	143
940	2245	140
941	2246	138
942	2248	135
943	2253	133
944	2254	131
945	2256	128
946	2257	126
947	2259	123
948	2260	121
949	2262	119
950	2264	116
951	2270	114
952	2272	112
953	2274	109
954	2275	107
955	2276	104
956	2278	102
957	2280	99
958	2284	97
959	2285	95
960	2287	92
961	2289	90
962	2291	88
963	2292	85
964	2294	83
965	2295	80
966	2299	78
967	2300	76
968	2301	73
969	2302	71
970	2303	68
971	2305	66
972	2306	64
973	2308	61
974	2310	59
975	2313	56
976	2315	54
977	2316	52
978	2318	49
979	2319	47
980	2320	44
981	2321	42
982	2322	40
983	2324	37
984	2325	35
985	2329	33
986	2331	30
987	2332	28
988	2334	25
989	2336	23
990	2338	21
991	2339	18
992	2341	16
993	2343	14
994	2345	11
995	2346	9
996	2347	7
997	2348	4
998	2350	2
999	2351	0
